,ROC,Measure,Classifier,GAN
184,0.9019340982242505,Lee Gan conditional 9,Baseline,Lee Gan conditional
185,0.9281795268156091,Lee Gan conditional 9,Baseline,Lee Gan conditional
186,0.9014167007134886,Lee Gan conditional 9,Baseline,Lee Gan conditional
187,0.8541821849589445,Lee Gan conditional 9,Baseline,Lee Gan conditional
188,0.9125462746133609,Lee Gan conditional 9,Baseline,Lee Gan conditional
189,0.9169636940469548,Lee Gan conditional 9,Baseline,Lee Gan conditional
190,0.9065785310706314,Lee Gan conditional 9,Baseline,Lee Gan conditional
191,0.9022316446109695,Lee Gan conditional 9,Baseline,Lee Gan conditional
192,0.9189515405771684,Lee Gan conditional 9,Baseline,Lee Gan conditional
193,0.9105327372648279,Lee Gan conditional 9,Baseline,Lee Gan conditional
194,0.8783519511320153,Lee Gan conditional 9,Baseline,Lee Gan conditional
195,0.9231617207429846,Lee Gan conditional 9,Baseline,Lee Gan conditional
196,0.9165252374143017,Lee Gan conditional 9,Baseline,Lee Gan conditional
197,0.919983532963967,Lee Gan conditional 9,Baseline,Lee Gan conditional
198,0.9240297589983258,Lee Gan conditional 9,Baseline,Lee Gan conditional
199,0.8931104698959662,Lee Gan conditional 9,Baseline,Lee Gan conditional
0,0.9290544159558354,Lee Gan conditional 0,MC Dropout,Lee Gan conditional
1,0.9063636624083227,Lee Gan conditional 0,MC Dropout,Lee Gan conditional
2,0.903764685805963,Lee Gan conditional 0,MC Dropout,Lee Gan conditional
3,0.886444091796875,Lee Gan conditional 0,MC Dropout,Lee Gan conditional
4,0.897333573321907,Lee Gan conditional 0,MC Dropout,Lee Gan conditional
5,0.913254874093192,Lee Gan conditional 0,MC Dropout,Lee Gan conditional
6,0.8854729788643972,Lee Gan conditional 0,MC Dropout,Lee Gan conditional
7,0.9062017324019452,Lee Gan conditional 0,MC Dropout,Lee Gan conditional
8,0.9118627431441327,Lee Gan conditional 0,MC Dropout,Lee Gan conditional
9,0.895492242307079,Lee Gan conditional 0,MC Dropout,Lee Gan conditional
10,0.9168053451849489,Lee Gan conditional 0,MC Dropout,Lee Gan conditional
11,0.9230452556999363,Lee Gan conditional 0,MC Dropout,Lee Gan conditional
12,0.9133683807995854,Lee Gan conditional 0,MC Dropout,Lee Gan conditional
13,0.9166717529296875,Lee Gan conditional 0,MC Dropout,Lee Gan conditional
14,0.9028880839445153,Lee Gan conditional 0,MC Dropout,Lee Gan conditional
15,0.8947120199398119,Lee Gan conditional 0,MC Dropout,Lee Gan conditional
16,0.9178502608318718,Lee Gan conditional 0,MC Dropout,Lee Gan conditional
17,0.9040496203364158,Lee Gan conditional 0,MC Dropout,Lee Gan conditional
18,0.9047527702487245,Lee Gan conditional 0,MC Dropout,Lee Gan conditional
19,0.9085736955915179,Lee Gan conditional 0,MC Dropout,Lee Gan conditional
20,0.8863995610451212,Lee Gan conditional 1,MC Dropout,Lee Gan conditional
21,0.894227631238042,Lee Gan conditional 1,MC Dropout,Lee Gan conditional
22,0.8968342372349329,Lee Gan conditional 1,MC Dropout,Lee Gan conditional
23,0.8909541538783482,Lee Gan conditional 1,MC Dropout,Lee Gan conditional
24,0.8448002095125159,Lee Gan conditional 1,MC Dropout,Lee Gan conditional
25,0.8789314737125319,Lee Gan conditional 1,MC Dropout,Lee Gan conditional
26,0.8786406225087692,Lee Gan conditional 1,MC Dropout,Lee Gan conditional
27,0.9071888826331312,Lee Gan conditional 1,MC Dropout,Lee Gan conditional
28,0.8772919323979593,Lee Gan conditional 1,MC Dropout,Lee Gan conditional
29,0.8868540549764827,Lee Gan conditional 1,MC Dropout,Lee Gan conditional
30,0.8951076585419324,Lee Gan conditional 1,MC Dropout,Lee Gan conditional
31,0.88920344138632,Lee Gan conditional 1,MC Dropout,Lee Gan conditional
32,0.8996634969905931,Lee Gan conditional 1,MC Dropout,Lee Gan conditional
33,0.9126565115792411,Lee Gan conditional 1,MC Dropout,Lee Gan conditional
34,0.8722462556800064,Lee Gan conditional 1,MC Dropout,Lee Gan conditional
35,0.8669611093949299,Lee Gan conditional 1,MC Dropout,Lee Gan conditional
36,0.9087480817522321,Lee Gan conditional 1,MC Dropout,Lee Gan conditional
37,0.8693371208346621,Lee Gan conditional 1,MC Dropout,Lee Gan conditional
38,0.8871665487484055,Lee Gan conditional 1,MC Dropout,Lee Gan conditional
39,0.8834709634586255,Lee Gan conditional 1,MC Dropout,Lee Gan conditional
40,0.8869239651426978,Lee Gan conditional 2,MC Dropout,Lee Gan conditional
41,0.8599747638313137,Lee Gan conditional 2,MC Dropout,Lee Gan conditional
42,0.8775139633490114,Lee Gan conditional 2,MC Dropout,Lee Gan conditional
43,0.870973236706792,Lee Gan conditional 2,MC Dropout,Lee Gan conditional
44,0.8750621250697544,Lee Gan conditional 2,MC Dropout,Lee Gan conditional
45,0.8811463336555324,Lee Gan conditional 2,MC Dropout,Lee Gan conditional
46,0.841123308454241,Lee Gan conditional 2,MC Dropout,Lee Gan conditional
47,0.8813999720982143,Lee Gan conditional 2,MC Dropout,Lee Gan conditional
48,0.8934083276865433,Lee Gan conditional 2,MC Dropout,Lee Gan conditional
49,0.8638346146564093,Lee Gan conditional 2,MC Dropout,Lee Gan conditional
50,0.86337576107103,Lee Gan conditional 2,MC Dropout,Lee Gan conditional
51,0.8768045853595344,Lee Gan conditional 2,MC Dropout,Lee Gan conditional
52,0.8445493737045601,Lee Gan conditional 2,MC Dropout,Lee Gan conditional
53,0.8599112374441965,Lee Gan conditional 2,MC Dropout,Lee Gan conditional
54,0.8333083172233737,Lee Gan conditional 2,MC Dropout,Lee Gan conditional
55,0.8567613874162947,Lee Gan conditional 2,MC Dropout,Lee Gan conditional
56,0.8740502182318239,Lee Gan conditional 2,MC Dropout,Lee Gan conditional
57,0.8816758759167731,Lee Gan conditional 2,MC Dropout,Lee Gan conditional
58,0.8264029366629464,Lee Gan conditional 2,MC Dropout,Lee Gan conditional
59,0.8827561359016263,Lee Gan conditional 2,MC Dropout,Lee Gan conditional
60,0.9097078284438778,Lee Gan conditional 3,MC Dropout,Lee Gan conditional
61,0.8913124240174586,Lee Gan conditional 3,MC Dropout,Lee Gan conditional
62,0.8894376170878506,Lee Gan conditional 3,MC Dropout,Lee Gan conditional
63,0.8871347855548469,Lee Gan conditional 3,MC Dropout,Lee Gan conditional
64,0.8636278424944196,Lee Gan conditional 3,MC Dropout,Lee Gan conditional
65,0.8847006972955198,Lee Gan conditional 3,MC Dropout,Lee Gan conditional
66,0.8702207292829242,Lee Gan conditional 3,MC Dropout,Lee Gan conditional
67,0.8895375777264031,Lee Gan conditional 3,MC Dropout,Lee Gan conditional
68,0.87720318229831,Lee Gan conditional 3,MC Dropout,Lee Gan conditional
69,0.8810580506616709,Lee Gan conditional 3,MC Dropout,Lee Gan conditional
70,0.9083912129304846,Lee Gan conditional 3,MC Dropout,Lee Gan conditional
71,0.906919206891741,Lee Gan conditional 3,MC Dropout,Lee Gan conditional
72,0.8932675731425381,Lee Gan conditional 3,MC Dropout,Lee Gan conditional
73,0.8702380121970663,Lee Gan conditional 3,MC Dropout,Lee Gan conditional
74,0.8575697918327487,Lee Gan conditional 3,MC Dropout,Lee Gan conditional
75,0.9037005366111287,Lee Gan conditional 3,MC Dropout,Lee Gan conditional
76,0.8951406673509249,Lee Gan conditional 3,MC Dropout,Lee Gan conditional
77,0.8693741778938138,Lee Gan conditional 3,MC Dropout,Lee Gan conditional
78,0.9061466139190049,Lee Gan conditional 3,MC Dropout,Lee Gan conditional
79,0.8978902077188297,Lee Gan conditional 3,MC Dropout,Lee Gan conditional
80,0.9306363475566006,Lee Gan conditional 4,MC Dropout,Lee Gan conditional
81,0.9153445496851084,Lee Gan conditional 4,MC Dropout,Lee Gan conditional
82,0.9163222020986128,Lee Gan conditional 4,MC Dropout,Lee Gan conditional
83,0.9277362434231506,Lee Gan conditional 4,MC Dropout,Lee Gan conditional
84,0.907216908980389,Lee Gan conditional 4,MC Dropout,Lee Gan conditional
85,0.9463245625398596,Lee Gan conditional 4,MC Dropout,Lee Gan conditional
86,0.9038867561184629,Lee Gan conditional 4,MC Dropout,Lee Gan conditional
87,0.9377572195870535,Lee Gan conditional 4,MC Dropout,Lee Gan conditional
88,0.927610747668208,Lee Gan conditional 4,MC Dropout,Lee Gan conditional
89,0.9245035599689093,Lee Gan conditional 4,MC Dropout,Lee Gan conditional
90,0.9254552101602358,Lee Gan conditional 4,MC Dropout,Lee Gan conditional
91,0.9145414391342475,Lee Gan conditional 4,MC Dropout,Lee Gan conditional
92,0.9305008868781889,Lee Gan conditional 4,MC Dropout,Lee Gan conditional
