Index,Level,Accuracy,Classifier,Transformation,ROC,Brier
15,Level 1,0.9860491071428571,MC Dropout,Noise,0.9921901528013582,0.00354237318970263
16,Level 1,0.9860491071428571,MC Dropout,Noise,0.9933446519524619,0.0028572112787514925
17,Level 1,0.9854910714285714,MC Dropout,Noise,0.9913102186601621,0.003363843308761716
18,Level 1,0.9838169642857143,MC Dropout,Noise,0.9960099360416218,0.003931489307433367
19,Level 1,0.9827008928571429,MC Dropout,Noise,0.9955853528969976,0.0033794741611927748
20,Level 2,0.9782366071428571,MC Dropout,Noise,0.9891468105957553,0.005903791170567274
21,Level 2,0.98046875,MC Dropout,Noise,0.9825026424912594,0.006770735140889883
22,Level 2,0.9827008928571429,MC Dropout,Noise,0.9905295744719825,0.0067476555705070496
23,Level 2,0.9838169642857143,MC Dropout,Noise,0.9933890116768048,0.006169828120619059
24,Level 2,0.9854910714285714,MC Dropout,Noise,0.9957313354821848,0.005431594792753458
25,Level 2,0.9815848214285714,MC Dropout,Noise,0.9899047323720432,0.0056434515863657
26,Level 2,0.9815848214285714,MC Dropout,Noise,0.9832549485761538,0.0071165249682962894
27,Level 2,0.9827008928571429,MC Dropout,Noise,0.9893205839790442,0.005496999714523554
28,Level 2,0.9754464285714286,MC Dropout,Noise,0.9881552943623881,0.006199685391038656
29,Level 2,0.9854910714285714,MC Dropout,Noise,0.9879780468681941,0.006682123523205519
30,Level 2,0.9849330357142857,MC Dropout,Noise,0.987430489980065,0.006658158730715513
31,Level 2,0.9782366071428571,MC Dropout,Noise,0.9918674214167654,0.006670966278761625
32,Level 2,0.9799107142857143,MC Dropout,Noise,0.9819665907365225,0.006445358041673899
33,Level 2,0.9838169642857143,MC Dropout,Noise,0.990122635789309,0.005109930876642466
34,Level 2,0.9810267857142857,MC Dropout,Noise,0.9913839255838854,0.0065840561874210835
35,Level 2,0.9838169642857143,MC Dropout,Noise,0.9904355819821229,0.005897303577512503
36,Level 2,0.984375,MC Dropout,Noise,0.9893707482993198,0.005328558851033449
37,Level 2,0.9821428571428571,MC Dropout,Noise,0.9920809659090909,0.0058179558254778385
38,Level 2,0.9838169642857143,MC Dropout,Noise,0.9932716568544996,0.007072558160871267
39,Level 2,0.9776785714285714,MC Dropout,Noise,0.993978310502283,0.006043408531695604
40,Level 3,0.9748883928571429,MC Dropout,Noise,0.9866692107104241,0.007548952475190163
41,Level 3,0.9737723214285714,MC Dropout,Noise,0.986673169542157,0.008670119568705559
42,Level 3,0.9810267857142857,MC Dropout,Noise,0.9879542260590243,0.008768376894295216
43,Level 3,0.9849330357142857,MC Dropout,Noise,0.9904522085825203,0.0077928355894982815
44,Level 3,0.9838169642857143,MC Dropout,Noise,0.9934085708138557,0.006879069376736879
45,Level 3,0.9754464285714286,MC Dropout,Noise,0.9892474516330352,0.007442769594490528
46,Level 3,0.9827008928571429,MC Dropout,Noise,0.9741532487039988,0.008928747847676277
47,Level 3,0.9793526785714286,MC Dropout,Noise,0.991914991914992,0.007176429498940706
48,Level 3,0.9737723214285714,MC Dropout,Noise,0.9843321343656648,0.007828600704669952
