,ROC,Measure,Classifier,GAN
138,0.14108509920081314,6,Baseline,Sricharan WGan 2e conditional
139,0.4019597890425701,6,Baseline,Sricharan WGan 2e conditional
120,0.8742440671336893,6,MC Dropout,Sricharan WGan 2e conditional
121,0.9026847372249682,6,MC Dropout,Sricharan WGan 2e conditional
122,0.8989083426339286,6,MC Dropout,Sricharan WGan 2e conditional
123,0.9612636955416932,6,MC Dropout,Sricharan WGan 2e conditional
124,0.8829588598134566,6,MC Dropout,Sricharan WGan 2e conditional
125,0.9587941072425065,6,MC Dropout,Sricharan WGan 2e conditional
126,0.7795609454719388,6,MC Dropout,Sricharan WGan 2e conditional
127,0.6030301463847257,6,MC Dropout,Sricharan WGan 2e conditional
128,0.8897863894092793,6,MC Dropout,Sricharan WGan 2e conditional
129,0.7567299044862086,6,MC Dropout,Sricharan WGan 2e conditional
130,0.6921912991270727,6,MC Dropout,Sricharan WGan 2e conditional
131,0.8747060347576531,6,MC Dropout,Sricharan WGan 2e conditional
132,0.9520917619977679,6,MC Dropout,Sricharan WGan 2e conditional
133,0.8440178073182397,6,MC Dropout,Sricharan WGan 2e conditional
134,0.8772386823381696,6,MC Dropout,Sricharan WGan 2e conditional
135,0.9366068937340561,6,MC Dropout,Sricharan WGan 2e conditional
136,0.9018022186902105,6,MC Dropout,Sricharan WGan 2e conditional
137,0.9002044054926658,6,MC Dropout,Sricharan WGan 2e conditional
138,0.7905849534638073,6,MC Dropout,Sricharan WGan 2e conditional
139,0.984960750657685,6,MC Dropout,Sricharan WGan 2e conditional
